,loan_amnt,int_rate,annual_inc,loan_status,open_acc,open_il_12m,Charged_Off
1289648,16250,13.99,190000.0,Charged Off,25.0,,0
195123,3575,17.97,51000.0,Fully Paid,8.0,2.0,0
167731,15000,10.08,70000.0,Current,10.0,1.0,0
764387,20000,13.67,65000.0,Current,23.0,1.0,0
1653307,15000,13.49,35000.0,Fully Paid,4.0,0.0,0
1484976,6000,13.59,55000.0,Fully Paid,6.0,1.0,0
521848,10200,27.79,51000.0,Current,8.0,1.0,0
2103712,3825,15.96,28500.0,Charged Off,6.0,,0
1391971,21600,15.99,112000.0,Current,11.0,0.0,0
1983869,7000,13.35,37900.0,Fully Paid,8.0,,0
1006539,10925,6.89,101000.0,Fully Paid,19.0,,0
912244,4800,13.99,58000.0,Fully Paid,6.0,0.0,0
1483058,25000,12.62,23382.0,Current,11.0,0.0,0
130075,14000,16.91,65000.0,Current,9.0,0.0,0
34383,20000,19.92,75000.0,Current,10.0,0.0,0
382462,18325,20.39,315000.0,Current,30.0,1.0,0
1104951,15025,9.99,39520.0,Fully Paid,3.0,,0
956343,10000,13.67,33000.0,Fully Paid,5.0,,0
1227759,7150,16.55,44000.0,Fully Paid,10.0,,0
1980679,9600,9.17,32000.0,Fully Paid,6.0,,0
1140716,25000,15.61,98000.0,Fully Paid,16.0,,0
1499274,10000,9.93,89000.0,Current,6.0,0.0,0
172542,16000,6.67,50000.0,Current,17.0,1.0,0
1006997,8400,7.89,60000.0,Fully Paid,9.0,,0
541350,7500,18.99,75000.0,Fully Paid,16.0,2.0,0
802166,15000,18.99,51000.0,Fully Paid,31.0,1.0,0
341561,16125,21.85,60000.0,Current,18.0,1.0,0
1088448,2000,12.69,40000.0,Fully Paid,8.0,,0
1773261,28100,21.98,77000.0,Charged Off,16.0,,0
363052,29000,9.92,85000.0,Current,14.0,1.0,0
730847,6400,11.47,90000.0,Fully Paid,10.0,0.0,0
989850,8000,13.67,40000.0,Charged Off,11.0,,0
2155060,8000,15.05,87000.0,Current,4.0,0.0,0
2049358,22800,15.61,140000.0,Charged Off,13.0,,0
1857396,20800,12.12,45600.0,Charged Off,5.0,,0
1244282,11325,15.61,45347.6,Charged Off,15.0,,0
1138456,20000,15.61,75000.0,Charged Off,10.0,,0
2085412,12000,9.67,59000.0,Fully Paid,11.0,,0
228320,5000,6.11,75556.0,Current,12.0,2.0,0
1773542,8575,18.49,40000.0,Charged Off,8.0,,0
1910361,15000,16.29,45000.0,Current,14.0,,0
1464715,12000,7.97,77800.0,Current,11.0,0.0,0
225861,40000,6.11,106000.0,Current,9.0,0.0,0
259960,10000,20.39,115600.0,Current,13.0,1.0,0
1924922,12000,15.61,36500.0,Current,12.0,,0
1829516,6000,14.09,50000.0,Fully Paid,6.0,,0
1713553,19125,15.61,81000.0,Fully Paid,9.0,,0
1227811,10000,14.65,35000.0,Fully Paid,13.0,,0
1000814,4000,14.33,250000.0,Fully Paid,28.0,,0
1630499,10000,10.91,52000.0,Charged Off,15.0,0.0,0
683727,14000,13.67,144500.0,Current,20.0,3.0,0
377588,30400,16.01,36000.0,Fully Paid,8.0,1.0,0
1746728,2800,16.78,80000.0,Charged Off,9.0,,0
1313621,11875,15.59,43196.0,Charged Off,13.0,,0
999122,4000,11.49,78300.0,Fully Paid,16.0,,0
1137911,3600,13.99,50232.0,Fully Paid,11.0,,0
149306,8500,12.73,20000.0,Current,6.0,0.0,0
1400838,9800,17.99,38800.0,Fully Paid,10.0,1.0,0
1738498,10000,22.2,50000.0,Fully Paid,14.0,,0
1352637,4800,8.24,40000.0,Current,9.0,0.0,0
2098342,21000,18.25,75000.0,Fully Paid,9.0,,0
256048,5000,10.56,75000.0,Current,6.0,0.0,0
937570,30800,22.99,70000.0,Fully Paid,9.0,3.0,0
577214,35000,14.49,99000.0,Fully Paid,14.0,1.0,0
1707888,27225,15.1,65000.0,Charged Off,12.0,,0
1835425,1450,6.62,22000.0,Fully Paid,10.0,,0
2136187,5000,14.42,35000.0,Fully Paid,9.0,,0
107844,10000,6.11,95000.0,Current,10.0,0.0,0
2161293,10000,5.32,65000.0,Current,10.0,0.0,0
320332,36000,10.56,70000.0,Current,4.0,0.0,0
1482149,4800,14.08,40000.0,Charged Off,16.0,0.0,0
1405931,10000,14.99,95000.0,Current,11.0,1.0,0
12286,3500,8.81,38000.0,Current,6.0,0.0,0
958302,22650,21.99,110000.0,Current,11.0,,0
803858,23550,17.97,62000.0,Charged Off,17.0,1.0,0
314238,15000,5.31,80000.0,Fully Paid,19.0,2.0,0
1346717,3300,12.39,90000.0,Fully Paid,15.0,,0
1679044,8400,11.99,60000.0,Fully Paid,14.0,,0
1754489,19200,9.71,142000.0,Fully Paid,10.0,,0
102699,12000,11.55,42000.0,Current,19.0,2.0,0
1407923,25000,6.99,120000.0,Fully Paid,16.0,0.0,0
44115,10000,8.19,11600.0,Current,10.0,0.0,0
1988607,10000,8.39,43500.0,Fully Paid,12.0,,0
305297,20000,15.49,80000.0,Current,9.0,2.0,0
1773060,34975,22.95,126800.0,Charged Off,11.0,,0
1549015,35000,12.62,98000.0,Current,14.0,0.0,0
1612516,14400,26.3,138650.0,Charged Off,26.0,1.0,0
2141033,7500,11.03,66000.0,Does not meet the credit policy. Status:Fully Paid,6.0,,0
1629904,6000,7.07,60000.0,Fully Paid,19.0,0.0,0
2197960,12000,14.08,39000.0,Current,4.0,1.0,0
83072,15000,11.55,105000.0,Current,21.0,2.0,0
1687453,4475,13.67,102000.0,Fully Paid,19.0,,0
1355178,2300,11.44,105000.0,Current,3.0,1.0,0
1596877,24000,7.21,160290.0,Current,27.0,1.0,0
1127906,9000,7.89,45000.0,Fully Paid,6.0,,0
1273260,35000,17.57,72000.0,Current,8.0,,0
4893,20000,22.35,53000.0,Current,16.0,0.0,0
714495,11000,9.16,67000.0,Current,18.0,0.0,0
1139584,20000,14.65,165000.0,Fully Paid,25.0,,0
470871,7500,23.88,325000.0,Current,17.0,2.0,0
529747,24000,24.49,102500.0,Current,14.0,5.0,0
1331378,4000,15.59,43000.0,Fully Paid,6.0,,0
1561151,25000,30.17,85000.0,Charged Off,14.0,2.0,0
1590732,30000,16.02,70000.0,Current,12.0,0.0,0
504107,5400,15.59,43000.0,Fully Paid,23.0,2.0,0
690954,10400,20.75,36096.0,Charged Off,10.0,2.0,0
552581,14000,10.99,62000.0,Current,9.0,0.0,0
1596745,8850,9.93,40000.0,Fully Paid,9.0,0.0,0
1790180,8000,10.16,140000.0,Fully Paid,11.0,,0
1586500,7000,10.42,37500.0,Current,6.0,0.0,0
697468,24000,7.89,100000.0,Current,15.0,0.0,0
348933,20000,9.43,40000.0,Current,3.0,0.0,0
1682355,12375,25.83,46000.0,Fully Paid,11.0,,0
762511,14000,7.89,86850.0,Fully Paid,10.0,1.0,0
2011529,13600,6.49,58000.0,Fully Paid,29.0,,0
781909,24875,15.31,54000.0,Current,12.0,0.0,0
1234932,30000,15.61,91000.0,Charged Off,16.0,,0
2168137,21000,10.42,65000.0,Fully Paid,10.0,1.0,0
197890,36425,7.84,175000.0,Current,21.0,0.0,0
1536953,12000,16.02,123234.0,Fully Paid,21.0,1.0,0
672474,2400,15.31,35870.0,Fully Paid,4.0,0.0,0
1919039,12000,8.39,110000.0,Fully Paid,10.0,,0
1655790,7000,14.99,34000.0,Charged Off,6.0,0.0,0
84868,20000,18.94,25000.0,Current,8.0,0.0,0
489249,20000,15.05,50000.0,Current,22.0,1.0,0
1464140,15600,9.44,70000.0,Late (16-30 days),10.0,0.0,0
609627,18900,15.31,110000.0,Charged Off,8.0,1.0,0
1085468,20000,19.99,85000.0,Fully Paid,9.0,,0
1637884,12000,11.39,45000.0,Current,10.0,1.0,0
1998009,9875,18.99,110000.0,Fully Paid,7.0,,0
356380,28000,15.04,118000.0,Current,9.0,0.0,0
2025092,15225,16.99,79000.0,Current,14.0,,0
1857989,18000,17.27,68000.0,Fully Paid,14.0,,0
1142878,21000,12.29,95000.0,Fully Paid,17.0,,0
541200,20000,9.49,105000.0,Fully Paid,25.0,1.0,0
2019003,7200,24.08,70000.0,Charged Off,8.0,,0
852369,2500,8.24,70000.0,Current,5.0,0.0,0
1364738,5000,11.44,32500.0,Current,7.0,0.0,0
2101152,13975,8.9,42000.0,Fully Paid,11.0,,0
1522694,11075,30.99,75000.0,Current,19.0,2.0,0
963446,10975,17.57,65000.0,Fully Paid,7.0,,0
1272676,19000,13.99,60060.0,Charged Off,18.0,,0
803653,5000,11.48,23880.0,Current,16.0,0.0,0
1560182,30000,10.42,74000.0,Fully Paid,17.0,0.0,0
840005,5000,13.49,50000.0,Current,13.0,0.0,0
1493200,12000,10.42,78000.0,Current,15.0,0.0,0
2124519,8000,14.72,144000.0,Fully Paid,10.0,,0
1878015,3825,17.86,12000.0,Fully Paid,12.0,,0
4309,12000,10.33,70000.0,Current,12.0,0.0,0
1481192,3200,13.59,65000.0,Fully Paid,11.0,1.0,0
1519484,5000,10.91,33000.0,Current,15.0,0.0,0
1408249,16000,14.99,40627.0,Charged Off,16.0,1.0,0
2227129,4500,9.93,22500.0,Current,10.0,0.0,0
1778418,16000,18.49,88000.0,Fully Paid,13.0,,0
1575194,9600,9.44,60000.0,Current,28.0,1.0,0
365703,11200,7.34,45000.0,Current,15.0,0.0,0
1276122,13000,10.99,104000.0,Charged Off,6.0,,0
251919,8000,16.14,58000.0,Current,11.0,1.0,0
561074,3500,8.99,29000.0,Current,10.0,0.0,0
1553566,12000,7.97,75000.0,Fully Paid,10.0,0.0,0
1126869,18500,6.89,102411.0,Fully Paid,7.0,,0
1679718,14125,22.4,78000.0,Fully Paid,12.0,,0
291502,5000,6.83,0.0,Current,9.0,0.0,0
551335,12800,10.99,36400.0,Fully Paid,10.0,0.0,0
1253676,4000,5.93,65000.0,Fully Paid,10.0,,0
372958,12000,11.98,35000.0,Current,9.0,1.0,0
304772,12000,8.08,65800.0,Fully Paid,5.0,0.0,0
637808,8000,11.47,32000.0,Late (31-120 days),12.0,1.0,0
491772,5000,7.97,19000.0,Current,5.0,0.0,0
1547824,7150,23.88,48378.0,Fully Paid,5.0,1.0,0
1598374,2000,13.59,55000.0,Current,9.0,0.0,0
2245482,18000,18.06,30000.0,Current,11.0,2.0,0
23632,25000,8.19,88000.0,Current,17.0,0.0,0
135793,15000,13.56,70000.0,Fully Paid,9.0,1.0,0
647719,10000,14.46,34549.0,Current,10.0,1.0,0
1913867,8000,10.15,40000.0,Fully Paid,9.0,,0
838133,40000,13.99,500000.0,Late (31-120 days),37.0,1.0,0
816661,12000,7.49,75000.0,Fully Paid,9.0,0.0,0
2030798,7325,17.57,31828.0,Fully Paid,8.0,,0
952950,25000,11.22,100000.0,Fully Paid,8.0,,0
1663684,12000,11.49,120000.0,Current,10.0,0.0,0
597368,11200,10.99,89000.0,Current,6.0,2.0,0
1838552,30000,21.0,84000.0,Charged Off,17.0,,0
1771208,16800,16.29,41000.0,Charged Off,20.0,,0
1340235,22150,11.44,150000.0,Fully Paid,7.0,,0
618848,2700,9.16,64000.0,Charged Off,17.0,0.0,0
566514,21900,21.49,86000.0,Current,13.0,4.0,0
100010,22000,10.47,43000.0,Current,7.0,0.0,0
1302388,12000,10.99,115000.0,Fully Paid,7.0,,0
1081364,15000,8.18,65000.0,Fully Paid,5.0,,0
1491484,13000,13.59,69000.0,Fully Paid,13.0,1.0,0
2156834,4900,10.42,45000.0,Current,6.0,1.0,0
2094310,8250,13.53,31044.0,Charged Off,9.0,,0
2219830,9500,11.99,45000.0,Current,8.0,2.0,0
273829,10000,12.13,75000.0,Current,8.0,0.0,0
2231526,16000,9.93,47000.0,Current,10.0,0.0,0
1781944,3600,17.77,34820.0,Fully Paid,10.0,,0
296792,3000,10.56,33000.0,Current,14.0,3.0,0
1176877,12000,8.18,35000.0,Fully Paid,3.0,,0
1540159,10000,16.02,40000.0,Current,12.0,1.0,0
1915476,10000,14.49,50000.0,Fully Paid,7.0,,0
463059,22000,13.59,105000.0,Fully Paid,10.0,1.0,0
290630,5000,16.46,65000.0,Current,8.0,1.0,0
361888,7000,11.98,52000.0,Current,10.0,1.0,0
641411,27625,11.47,104000.0,Fully Paid,9.0,0.0,0
1692735,25000,9.67,125000.0,Fully Paid,19.0,,0
2211031,8000,15.05,24000.0,Current,1.0,0.0,0
1334551,20000,11.44,76000.0,Fully Paid,9.0,,0
1243496,11200,13.99,145000.0,Fully Paid,20.0,,0
628487,14000,11.99,75000.0,Late (31-120 days),12.0,2.0,0
1270680,1600,17.57,29462.4,Fully Paid,6.0,,0
1989691,11000,6.49,100000.0,Fully Paid,16.0,,0
243903,10000,22.35,54000.0,Fully Paid,14.0,1.0,0
248515,30000,17.97,80000.0,Current,30.0,4.0,0
939669,10000,11.22,26000.0,Fully Paid,6.0,0.0,0
2255402,2000,11.99,40000.0,Current,4.0,1.0,0
726494,8000,10.75,72000.0,Fully Paid,22.0,0.0,0
755346,11200,8.39,83000.0,Fully Paid,16.0,4.0,0
1760287,11875,17.77,36000.0,Charged Off,22.0,,0
169800,2400,6.11,35592.0,Current,23.0,0.0,0
1430228,32000,10.49,145000.0,Current,10.0,0.0,0
10334,18000,11.8,82000.0,Current,13.0,1.0,0
215539,13000,14.47,110000.0,Current,12.0,2.0,0
2171708,6000,9.93,26244.0,Fully Paid,13.0,2.0,0
1281787,20000,16.99,105000.0,Fully Paid,13.0,,0
597807,6000,12.79,23000.0,Current,28.0,0.0,0
2250852,24000,15.05,75000.0,Current,13.0,0.0,0
1682518,10000,12.85,60000.0,Fully Paid,15.0,,0
747268,13550,14.46,40000.0,Charged Off,15.0,0.0,0
492216,2800,20.0,40000.0,Current,7.0,1.0,0
294960,15000,8.08,33600.0,Current,5.0,0.0,0
1390068,10550,6.99,231000.0,Fully Paid,10.0,1.0,0
289921,23000,8.08,61000.0,Current,8.0,0.0,0
920287,32000,17.99,100000.0,Current,20.0,0.0,0
265806,14000,6.19,80000.0,Current,8.0,0.0,0
174711,14000,16.14,106000.0,Current,12.0,0.0,0
1526951,1500,10.91,45000.0,Current,5.0,1.0,0
976245,11000,9.17,60000.0,Fully Paid,9.0,,0
301870,21550,12.13,60000.0,Current,9.0,0.0,0
1046614,15000,12.69,80000.0,Fully Paid,13.0,,0
434823,28000,15.04,66273.63,Current,11.0,1.0,0
903252,19200,19.99,150000.0,Current,13.0,0.0,0
690656,13500,10.75,75000.0,Fully Paid,25.0,3.0,0
1594650,18000,11.99,65000.0,Fully Paid,16.0,1.0,0
1865632,32350,10.49,66000.0,Fully Paid,10.0,,0
850727,20875,13.99,137000.0,Charged Off,8.0,0.0,0
137783,25000,30.17,69000.0,Current,15.0,2.0,0
2257932,10000,15.05,68000.0,Current,17.0,0.0,0
444164,20000,24.85,70000.0,Current,35.0,2.0,0
148218,2000,25.34,37000.0,Current,5.0,1.0,0
1057175,14925,18.25,45000.0,Fully Paid,18.0,,0
1244698,12000,13.33,73000.0,Charged Off,13.0,,0
1926577,18000,8.39,71500.0,Fully Paid,20.0,,0
1892136,19500,6.03,130000.0,Fully Paid,14.0,,0
1484081,10000,10.42,55000.0,Current,5.0,1.0,0
872930,10000,14.99,23000.0,Fully Paid,11.0,0.0,0
104758,10000,25.34,33000.0,Current,8.0,1.0,0
24453,20000,27.27,83200.0,Current,14.0,1.0,0
412806,4800,17.47,55000.0,Current,8.0,1.0,0
1194132,3000,12.29,36196.0,Fully Paid,18.0,,0
865688,5000,11.49,52000.0,Current,16.0,1.0,0
1605715,8000,12.62,86000.0,Current,14.0,1.0,0
469125,5000,5.32,30000.0,Current,10.0,0.0,0
968882,25000,5.32,100000.0,Fully Paid,26.0,,0
1940225,35000,15.61,450000.0,Fully Paid,15.0,,0
1979555,18000,16.29,90000.0,Current,18.0,,0
975736,2400,13.18,26000.0,Fully Paid,14.0,,0
73113,10000,26.31,65000.0,Current,35.0,0.0,0
554572,15000,15.59,55000.0,Current,11.0,1.0,0
1997125,8500,9.17,62100.0,Fully Paid,14.0,,0
1147533,11150,19.99,31000.0,Current,5.0,,0
2072851,20000,15.31,59000.0,Fully Paid,13.0,,0
469454,25000,16.02,100500.0,Current,13.0,0.0,0
640901,24000,5.32,97500.0,Fully Paid,14.0,2.0,0
195369,13000,20.89,60000.0,Fully Paid,12.0,1.0,0
1672702,16000,5.32,102996.0,Current,9.0,0.0,0
1247430,10000,6.68,150000.0,Fully Paid,20.0,,0
497811,24000,10.99,100000.0,Current,18.0,0.0,0
1088254,25000,10.99,92686.0,Current,7.0,,0
1696944,16000,12.99,42000.0,Fully Paid,13.0,,0
9709,25000,12.98,63000.0,Current,9.0,1.0,0
490333,2000,7.97,60000.0,Current,14.0,0.0,0
659850,35000,16.29,76245.0,Fully Paid,6.0,0.0,0
2037730,18000,13.65,74900.0,Fully Paid,9.0,,0
702158,5000,11.47,30000.0,Fully Paid,3.0,0.0,0
1209641,4000,6.89,30000.0,Fully Paid,8.0,,0
1326640,17025,12.99,40000.0,Fully Paid,6.0,,0
1557512,24000,10.42,140000.0,Current,8.0,0.0,0
509586,15000,13.99,56000.0,Charged Off,19.0,0.0,0
457066,20000,19.03,50000.0,Current,6.0,0.0,0
2161109,9000,16.02,54000.0,Fully Paid,5.0,2.0,0
10397,15000,7.02,153000.0,Current,10.0,0.0,0
1114786,16800,14.65,113312.0,Fully Paid,16.0,,0
450074,18000,9.44,20000.0,Current,9.0,0.0,0
632304,13000,6.97,23000.0,Current,10.0,0.0,0
386390,20000,24.84,65000.0,Late (31-120 days),16.0,1.0,0
2241214,35000,9.93,204000.0,Current,15.0,1.0,0
573603,7800,9.49,50000.0,Fully Paid,5.0,0.0,0
109920,9000,11.55,30000.0,Current,7.0,0.0,0
576662,8500,17.99,31000.0,Late (31-120 days),11.0,0.0,0
1792652,18000,6.03,116000.0,Fully Paid,15.0,,0
1045686,15000,10.99,90000.0,Charged Off,5.0,,0
1111274,15000,6.24,100000.0,Charged Off,15.0,,0
1894715,35000,15.99,75000.0,Current,13.0,,0
2049108,1200,22.45,45000.0,Charged Off,10.0,,0
1749740,12000,17.56,75000.0,Fully Paid,11.0,,0
1135922,10050,18.55,91000.0,Fully Paid,16.0,,0
874586,3825,21.49,12000.0,Late (16-30 days),5.0,0.0,0
1517180,12000,19.03,70000.0,Current,11.0,2.0,0
1639260,21100,15.99,44000.0,Current,8.0,0.0,0
666396,25000,18.25,65000.0,Current,12.0,1.0,0
273779,7000,5.31,65000.0,Current,19.0,0.0,0
1861469,25000,19.03,281000.0,Fully Paid,16.0,,0
566692,6000,10.99,42500.0,Fully Paid,11.0,0.0,0
754009,25000,15.31,70000.0,Charged Off,21.0,1.0,0
1954845,5000,10.99,72000.0,Fully Paid,13.0,,0
568061,5000,18.99,120000.0,Charged Off,23.0,3.0,0
458491,14000,15.05,68879.0,Current,8.0,2.0,0
432847,22000,6.07,80000.0,Current,16.0,1.0,0
961529,5000,16.55,70000.0,Fully Paid,6.0,,0
837047,6000,10.49,45000.0,Current,15.0,0.0,0
2014738,8725,19.52,68000.0,Fully Paid,13.0,,0
595338,10850,24.49,70000.0,Charged Off,11.0,4.0,0
2058735,20000,14.64,85000.0,Fully Paid,17.0,,0
155727,10000,20.89,40000.0,Current,12.0,6.0,0
225438,15000,13.56,65000.0,Current,13.0,0.0,0
1944751,13200,12.99,57000.0,Fully Paid,15.0,,0
1857252,20700,20.5,140000.0,Fully Paid,16.0,,0
941689,25000,5.32,220000.0,Fully Paid,11.0,0.0,0
1433295,26000,6.99,145000.0,Current,20.0,1.0,0
567070,15000,11.49,75000.0,Current,9.0,1.0,0
1559950,16000,7.97,100000.0,Current,14.0,1.0,0
1423949,10000,13.49,49000.0,Fully Paid,6.0,1.0,0
273842,25000,19.42,55000.0,Current,17.0,2.0,0
1217540,6000,12.29,55000.0,Fully Paid,6.0,,0
1872482,2500,14.99,33500.0,Fully Paid,17.0,,0
1387276,35000,13.49,96000.0,Fully Paid,7.0,1.0,0
2240304,10000,10.42,30000.0,Fully Paid,11.0,0.0,0
1703815,15000,7.9,60000.0,Fully Paid,12.0,,0
1014280,10000,9.17,51000.0,Charged Off,10.0,,0
1184931,4000,11.53,30000.0,Fully Paid,5.0,,0
724261,4000,15.31,82000.0,Fully Paid,20.0,0.0,0
1545391,9000,10.42,45000.0,Current,10.0,1.0,0
973487,24000,7.26,130000.0,Current,14.0,,0
873053,35000,11.39,150000.0,Current,11.0,0.0,0
39972,20000,18.94,65000.0,Current,13.0,0.0,0
308292,19600,11.98,37989.0,Fully Paid,5.0,0.0,0
751998,35000,7.89,180000.0,Current,17.0,1.0,0
1917708,3000,14.99,45000.0,Fully Paid,11.0,,0
580618,14000,15.59,35000.0,Fully Paid,9.0,0.0,0
1827220,11500,7.62,56000.0,Fully Paid,6.0,,0
1947193,1000,22.15,24000.0,Fully Paid,6.0,,0
226194,4000,11.06,28000.0,Current,5.0,1.0,0
2195604,8000,10.91,75000.0,Current,24.0,1.0,0
1367371,35000,11.49,157000.0,Current,15.0,1.0,0
1857797,5400,6.62,92000.0,Fully Paid,13.0,,0
562774,8850,10.99,42000.0,Fully Paid,3.0,0.0,0
1804061,12000,11.14,100000.0,Fully Paid,19.0,,0
1796289,6350,12.12,23000.0,Fully Paid,11.0,,0
1531099,5000,9.44,35000.0,Current,17.0,1.0,0
11049,40000,7.56,300000.0,Current,9.0,0.0,0
726189,10000,9.75,56000.0,Fully Paid,10.0,0.0,0
1340996,8000,12.99,66000.0,Fully Paid,7.0,,0
1142075,30000,7.89,85000.0,Fully Paid,10.0,,0
998198,4900,17.86,24000.0,Fully Paid,7.0,,0
90549,10000,11.06,70000.0,Current,13.0,2.0,0
2002898,19000,7.69,123500.0,Fully Paid,8.0,,0
102536,7500,24.37,33000.0,Current,10.0,0.0,0
1399866,7000,10.49,35000.0,Fully Paid,14.0,0.0,0
864989,40000,10.49,146104.0,Current,16.0,0.0,0
105089,17000,16.91,66000.0,Current,7.0,2.0,0
1099436,11000,6.89,70000.0,Fully Paid,16.0,,0
1912590,1500,11.67,34104.0,Fully Paid,7.0,,0
182860,18000,12.73,165000.0,Current,36.0,0.0,0
1325146,27125,7.49,135000.0,Fully Paid,19.0,,0
253177,40000,19.92,122000.0,Current,8.0,0.0,0
132156,8800,15.02,30000.0,Current,6.0,1.0,0
1052315,15375,13.99,200000.0,Charged Off,6.0,,0
1841583,12000,12.12,70000.0,Fully Paid,9.0,,0
123643,13000,7.21,199000.0,Current,24.0,4.0,0
596123,28000,12.79,169250.0,Current,8.0,1.0,0
269648,20000,5.31,80000.0,Current,16.0,0.0,0
1657347,12000,14.99,50000.0,Fully Paid,6.0,1.0,0
1805758,18775,10.16,81000.0,Fully Paid,13.0,,0
1002495,7250,20.99,45000.0,Fully Paid,4.0,,0
1285557,23025,12.29,65456.23,Fully Paid,20.0,,0
298604,3000,9.58,37700.0,Current,7.0,1.0,0
1453662,24000,28.72,60000.0,Charged Off,11.0,1.0,0
1564832,12000,9.44,76000.0,Fully Paid,17.0,0.0,0
1152858,30000,13.33,96000.0,Fully Paid,3.0,,0
887682,30000,11.39,155000.0,Current,8.0,2.0,0
1315180,20000,6.03,116000.0,Fully Paid,15.0,,0
656604,5000,11.47,45000.0,Charged Off,4.0,0.0,0
610044,15000,12.99,115000.0,Current,14.0,1.0,0
98745,6000,17.97,56000.0,Current,7.0,0.0,0
1803461,22800,13.11,51000.0,Fully Paid,12.0,,0
767302,6000,13.67,80000.0,Fully Paid,10.0,2.0,0
1625321,25000,12.62,55000.0,Current,15.0,0.0,0
1375230,4800,11.39,27000.0,Current,13.0,0.0,0
905393,10000,13.99,32000.0,Fully Paid,22.0,2.0,0
2167094,8000,9.93,96800.0,Current,26.0,1.0,0
546996,9000,17.99,55000.0,Current,20.0,0.0,0
486504,9000,17.09,40000.0,Current,7.0,0.0,0
1251406,16800,5.93,104600.0,Fully Paid,13.0,,0
2085660,13150,23.7,36640.0,Fully Paid,12.0,,0
1741321,3600,18.85,18000.0,Fully Paid,8.0,,0
463481,10000,16.02,26000.0,Current,10.0,1.0,0
393234,35000,23.87,71000.0,Current,15.0,2.0,0
333693,8000,13.58,70000.0,Current,10.0,1.0,0
549588,6000,16.99,82000.0,Fully Paid,9.0,2.0,0
1324921,13100,13.66,85000.0,Fully Paid,13.0,,0
705514,28500,7.39,107302.0,Current,11.0,0.0,0
1582934,34500,16.02,75000.0,Current,10.0,0.0,0
251279,40000,17.97,35000.0,Current,10.0,0.0,0
1775766,14400,16.29,47953.13,Fully Paid,7.0,,0
1277904,11200,8.18,76000.0,Fully Paid,8.0,,0
1552366,24000,19.03,110000.0,Current,8.0,0.0,0
1484552,4200,6.0,40000.0,Current,9.0,1.0,0
1043395,35000,7.89,450000.0,Fully Paid,20.0,,0
1244724,30000,8.18,105000.0,Fully Paid,15.0,,0
324092,10000,18.45,45000.0,Current,5.0,0.0,0
268309,4000,14.03,85000.0,Fully Paid,16.0,2.0,0
1958983,35000,14.49,118300.0,Fully Paid,9.0,,0
60934,20000,7.84,48048.0,Current,6.0,2.0,0
1274472,35000,7.89,200000.0,Fully Paid,11.0,,0
79661,25000,11.06,180000.0,Current,15.0,1.0,0
781115,11200,21.18,108000.0,Current,28.0,1.0,0
1365210,18000,16.99,41600.0,Fully Paid,13.0,0.0,0
147404,40000,6.67,230000.0,Current,11.0,0.0,0
1465056,12000,10.42,30000.0,Current,17.0,1.0,0
6632,13000,8.19,70000.0,Current,7.0,0.0,0
2220738,8000,12.62,100000.0,Current,11.0,0.0,0
31716,25000,12.98,60000.0,Current,17.0,2.0,0
615237,20000,9.75,95000.0,Fully Paid,10.0,0.0,0
2251745,10000,23.88,61000.0,Fully Paid,17.0,1.0,0
2015383,19200,12.99,95000.0,Charged Off,12.0,,0
1124326,6000,13.33,26000.0,Fully Paid,8.0,,0
